repo_name,repo_owner,git_url,api_base_url,source_type
silverstripe-blog,silverstripe,git://github.com/silverstripe/silverstripe-blog.git,http://api.github.com,github_repo
silverstripe-cmsworkflow,silverstripe,git://github.com/silverstripe/silverstripe-cmsworkflow.git,http://api.github.com,github_repo
silverstripe-forum,silverstripe,git://github.com/silverstripe/silverstripe-forum.git,http://api.github.com,github_repo
silverstripe-mollom,silverstripe-archive,git://github.com/silverstripe-archive/silverstripe-mollom.git,http://api.github.com,github_repo
silverstripe-mobile,silverstripe,git://github.com/silverstripe/silverstripe-mobile.git,http://api.github.com,github_repo
silverstripe-subsites,silverstripe,git://github.com/silverstripe/silverstripe-subsites.git,http://api.github.com,github_repo
igbinary,igbinary,git://github.com/igbinary/igbinary.git,http://api.github.com,github_repo
papercite,bpiwowar,git://github.com/bpiwowar/papercite.git,http://api.github.com,github_repo
DTCoreText,Cocoanetics,git://github.com/Cocoanetics/DTCoreText.git,http://api.github.com,github_repo
haigha,agoragames,git://github.com/agoragames/haigha.git,http://api.github.com,github_repo
assetic,kriswallsmith,git://github.com/kriswallsmith/assetic.git,http://api.github.com,github_repo
Dynamic-Carousel,Wilto,git://github.com/Wilto/Dynamic-Carousel.git,http://api.github.com,github_repo
Bailador,Bailador,git://github.com/Bailador/Bailador.git,http://api.github.com,github_repo
virtualenvwrapper-win,davidmarble,git://github.com/davidmarble/virtualenvwrapper-win.git,http://api.github.com,github_repo
doT,olado,git://github.com/olado/doT.git,http://api.github.com,github_repo
cubes,DataBrewery,git://github.com/DataBrewery/cubes.git,http://api.github.com,github_repo
open_exoplanet_catalogue,OpenExoplanetCatalogue,git://github.com/OpenExoplanetCatalogue/open_exoplanet_catalogue.git,http://api.github.com,github_repo
znc-push,jreese,git://github.com/jreese/znc-push.git,http://api.github.com,github_repo
tagbar,majutsushi,git://github.com/majutsushi/tagbar.git,http://api.github.com,github_repo
GeoJSON.Net,GeoJSON-Net,git://github.com/GeoJSON-Net/GeoJSON.Net.git,http://api.github.com,github_repo
fpGUI,graemeg,git://github.com/graemeg/fpGUI.git,http://api.github.com,github_repo
googl,zigotto,git://github.com/zigotto/googl.git,http://api.github.com,github_repo
imagefactory,redhat-imaging,git://github.com/redhat-imaging/imagefactory.git,http://api.github.com,github_repo
